0,Fireball
1,Spiral Flare
2,Explosion
3,Ice Needles
4,Spread
5,Final Embrace
6,Stone Blast
7,Boulder Bash
8,Ground Dasher
9,Wind Blade
10,Crosswind
11,Cyclone
12,Lightning
13,Spark Wave
14,Thunder Blade
15,Photon
16,Ray
17,Grand Cross
18,Shadow Edge
19,Demon’s Lance
20,Black Hole
21,Pow Hammer
22,First Aid
23,Heal
24,Cure
25,Nurse
26,Revitalize
27,Geotherapy
28,Astral-therapy
29,Recover
30,Dispel
31,Anti-Magic
32,Resurrection
33,Sharpness
34,Barrier
35,Astion
36,Resist
37,Suppress Weapon
38,Suppress Armor
39,Suppress Mind
40,Suppress Aura
41,
42,
43,Wild Rush
44,
45,Earth Breaker
46,Bloody Soul
47,Bloody Impact
48,Charge Fang
49,
50,
51,Dizzy Bomb
52,Assault Trigger
53,Heaven’s Ladder
54,Judgment
55,Punishment Permit
56,
57,Spirit’s Curse
58,Hidden Binds
59,
60,Sakura Ballet
61,Mortal Shadow
62,
63,Jagd Reisen
64,
65,
66,
67,
68,Stark Nicht
69,Nacht Elgar
70,Echt Schwarz
71,
72,
73,
74,Devastation
75,Storm Thrust
76,Fatal Lance
77,Manly Thunder Lance
78,Storm Thrust: Seeker
79,Calamity Impact
80,Rakshasa’s Ecstasy
81,
82,Burning Wheel
83,Blazing Ring
84,Rising Phoenix
85,Pirouette Kick
86,Final Fury
87,
88,Black Kite Hail
89,Stormy Owl
90,Wild Hawk
91,Golden Eagle
92,
93,Whirling Assault
94,Shimmer Spin
95,Binding Sphere
96,Blade Torrent
97,Elemental Mastery
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,Weak Powder
117,Paralysis Powder
118,Fear Powder
119,Britlle Powder
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,Poison Jel
140,Weak Jel
141,Paralysis Jel
142,Poison Spore
143,Weak Spore
144,Paralysis Spore
145,Fierce Spore
146,
147,Shock Howling
148,
149,
150,
151,Poison Spore
152,Stone Spore
153,Brittle Spore
154,
155,Flame Breath
156,Earth Breath
157,Holy Breath
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,Stone Smog
171,Scatter Smog
172,
173,
174,Flare Ball
175,
176,
177,Earth Dive
178,
179,
180,
181,
182,Poison Prick
183,
184,
185,Stampless
186,
187,
188,
189,
190,Limit Absorber
191,
192,
193,
194,
195,
196,
197,
198,Destruction Bomb
199,
200,Flare Grenade
201,
202,
203,
204,
205,Proton Bomb
206,Baryon Laser
207,Baryon Laser
208,
209,
210,
211,
212,Sting Laser
213,
214,
215,Terro Shout
216,
217,
218,
219,Smiting Fall
220,Sovereign Demon Fang
221,
222,Demon King Rupture
223,
224,
225,
226,Octostroke
227,Abrupt End
228,Abrupt End
229,
230,Chiaroscuro Wave
231,Chiaroscuro Union
232,
233,Blinking Lunar Tempest
234,Hell Pyre Fang
235,Blinking Hell Pyre
236,Demon Worldslayer
237,
238,
239,Shadow Nails
240,Scatter
241,
242,
243,
244,Venom Gouge
245,
246,
247,
248,
249,
250,Earth Wave
251,
252,Earth Wall
253,
254,
255,
256,
257,
258,
259,Screw Hammer
260,Flare Bomb
261,Merciless Hunt
262,Sonic Spear
263,Platinum Edge
264,Fang Rush
265,Diving Dragon
266,Twinkling Halo
267,Force Fang
268,Platinum Hail
269,Dragon Force
270,Guardian Field
271,Dragon Shine
272,Heavenly Platinum Edge
273,Demon Fang
274,Sonic Shock
275,Demolishing Thrust
276,Void Tempest
277,Hell Sword
278,Tempest Strike
279,Fissure Sweep
280,Rising Phoenix
281,Hell Pyre
282,Infernal Torrent
283,Pyro Blitz
284,Searing Gale
285,Razing Phoenix
286,Infernal Spear
