Use,0,name,Apple Gel
Use,0,description,"Made from the freshly picked apples of Galpos,
these juicy gels restore HP by 30%."
Use,1,name,Lemon Gel
Use,1,description,"These sour yet surprisingly popular
gels restore HP by 60%."
Use,2,name,Orange Gel
Use,2,description,"These tangy yet pleasantly sweet
gels restore TP by 30%."
Use,3,name,Pineapple Gel
Use,3,description,"Made from sun-soaked pineapples of Galpos,
these juicy gels restore TP by 60%."
Use,4,name,Melange Gel
Use,4,description,"These gels, made from a mixture of
tropical fruits, restore HP and TP by 30%."
Use,5,name,Miracle Gel
Use,5,description,"These gels, which restore HP and TP by
60%, have to be tasted to be believed."
Use,6,name,Specific
Use,6,description,"Restores 30% of Max HP for all party members.
Spread around the area to use it."
Use,7,name,Treat
Use,7,description,"Restores 30% of Max TP for all party members.
Spread around the area to use it."
Use,8,name,Poison Bottle
Use,8,description,"This powerful antidote may taste bitter,
but it works like a charm against poison."
Use,9,name,Weak Bottle
Use,9,description,"This weakness-conquering pick-me-up
should be glugged down with gusto."
Use,10,name,Paralysis Bottle
Use,10,description,"This potent anti-paralysis medicine
should be handled carefully."
Use,11,name,Terror Bottle
Use,11,description,"A cure for terror. With enough courage,
nothing can get in your way!"
Use,12,name,Stone Bottle
Use,12,description,"Beware the eye-watering odor of this
fast-acting cure for petrifaction."
Use,13,name,Cure Bottle
Use,13,description,"A liquid whose invigorating fragnance lightens
the heart and cures all Physical Ailments."
Use,14,name,Dinei Bottle
Use,14,description,"A liquid whose rich flowery fragnance soothes the
worn-out heart and cures all Magical Ailments."
Use,15,name,Panacea Bottle
Use,15,description,"This miracle cure treats all known
physical ailments and status effects."
Use,16,name,Life Bottle
Use,16,description,"Puts a fallen ally back on their feet with
30% of HP and 15% of TP restored."
Use,17,name,Elixir
Use,17,description,"Fully restores TP and HP, remedies KO, and
cures all physical and status ailments."
Use,18,name,Dark Bottle
Use,18,description,"This liquid attracts monsters for a fixed amount of 
time. One should not carelessly use it if unprepared."
Use,19,name,Umbra Bottle
Use,19,description,"This unholy substance courts disaster by
summoning an unstoppable wave of monsters."
Use,20,name,Holy Bottle
Use,20,description,"A bottle sealed with holy liquid, it keeps 
enemies away for a certain amount of time."
Use,21,name,Sacrosanct Bottle
Use,21,description,"This sanctified water stops enemies from
attacking altogether for a short while."
Use,22,name,Sage
Use,22,description,"Permanently increases maximum HP by 10.
An herb with nourishing properties."
Use,23,name,Red Sage
Use,23,description,"Permanently increases maximum HP by 30.
The finest harvest amongst all sages."
Use,24,name,Savory
Use,24,description,"Permanently increases maximum TP by 5.
An herb that calms the mind when consumed."
Use,25,name,Red Savory
Use,25,description,"Permanently increases maximum TP by 10.
The finest harvest amongst all savories."
Use,26,name,Lavender
Use,26,description,"Permanently increases maximum P. ATK by 1.
Said to increase strength when drunk as a concoction."
Use,27,name,Red Lavender
Use,27,description,"Permanently increases maximum P. ATK by 3.
The finest harvest amongst all lavenders."
Use,28,name,Verbena
Use,28,description,"Permanently increases maximum P. DEF by 1.
Said to make your body robust when consumed."
Use,29,name,Red Verbena
Use,29,description,"Permanently increases maximum P. DEF by 3.
A luxury item, aged to maximize its benefits."
Use,30,name,Chamomile
Use,30,description,"Permanently increases maximum A. ATK by 1.
Said to improve one’s concentration when consumed."
Use,31,name,Red Chamomile
Use,31,description,"Permanently increases maximum A. ATK by 3.
An extremely rare and effective herb."
Use,32,name,Saffron
Use,32,description,"Permanently increases maximum A. DEF by 1.
Said to build a strong, unyielding heart when consumed."
Use,33,name,Red Saffron
Use,33,description,"Permanently increases maximum A. DEF by 3.
The finest harvest amongst all saffrons."
Use,34,name,All-Divide
Use,34,description,"Reduces all damage inflicted on allies
and enemies during battle by 50%."
Use,35,name,Magic Lens
Use,35,description,"Enables the user to examine an enemy’s
statistics. Can’t be used on allies."
Weapon,0,name,Eddie’s Sword
Weapon,0,description,"At first glance, it looks sturdy, but it’s just a toy.
However, it hurts even adults when they are hit."
Weapon,1,name,Broadsword
Weapon,1,description,"A wide, two-handed sword. Rather than 
piercing, the emphasis is on slashing."
Weapon,2,name,Iron Sword
Weapon,2,description,"A sword made of iron. It is beloved by
adventurers for being slender yet sturdy."
Weapon,3,name,Great Sword
Weapon,3,description,"A very large two-handed sword. Its attacks take 
advantage of its weight to deal lethal blows."
Weapon,4,name,Battle Sword
Weapon,4,description,"A versatile and useful military sword.
The broad blade adds weight and durability."
Weapon,5,name,Radius Sword
Weapon,5,description,"A sword clad with the power of light. Its blade
has the power to purify those who are cut by it."
Weapon,6,name,Willow Leaf Sword
Weapon,6,description,"A single-edged sword common in Ashihara.
Users utilize its broadness in their fighting styles."
Weapon,7,name,Bastard Sword
Weapon,7,description,"A sword capable of both piercing and slashing.
Contrary to its looks, it’s well-balanced."
Weapon,8,name,Storm Sword
Weapon,8,description,"Sword imbued with the power of the wind.
A blowing wind can be both sword and shield."
Weapon,9,name,Grim Sword
Weapon,9,description,"A sword made to resemble a magical sword.
Part of it contains the soul of Garam’s craftsmen."
Weapon,10,name,Steel Sword
Weapon,10,description,"A sword made of steel.
Simplicity at its finest."
Weapon,11,name,Sharpness Sword
Weapon,11,description,"Sword with a sharp edge. Handle with
care so you don’t accidentally cut yourself."
Weapon,12,name,Happiness Sword
Weapon,12,description,"A sword endowed with the name happiness.
Carries its craftsman’s wishes."
Weapon,13,name,Magical Sword
Weapon,13,description,"A magically magical sword.
What’s magical about it, no one knows."
Weapon,14,name,Heat Sword
Weapon,14,description,"It features a red blade reminiscent of flames.
It seems to symbolize the blazing sun of Galpos."
Weapon,15,name,Zephyros
Weapon,15,description,"Sword imbued with the power of the wind.
The overflowing power has dyed the blade green."
Weapon,16,name,Zweihander
Weapon,16,description,"A huge sword. Due to its size, it is best
used by styles that use a blade’s weight."
Weapon,17,name,Ice Coffin
Weapon,17,description,"A sword with the epithet ""Ice Coffin."" It is said this
coffin grants magical power to he who wields it."
Weapon,18,name,Voltaic Sword
Weapon,18,description,"A sword infused with lightning. A ruthless jolt
pierces those at the receiving end of this blade."
Weapon,19,name,Rune Sword
Weapon,19,description,"A sword enhanced by means of an arcane rite.
Its power makes it surprisingly light and easy to handle."
Weapon,20,name,Clay Sword
Weapon,20,description,"A sword containing the power of the earth.
All those who opposite it shall return to Mother Earth."
Weapon,21,name,Glorious Sword
Weapon,21,description,"A sword with the epithet ""Honor.""
It is said to lead the user to a prestigious position."
Weapon,22,name,Flamberge
Weapon,22,description,"A magic sword resembling a sunset. One touch
of the scorching blade is enough to dry the sea."
Weapon,23,name,Evil Sword
Weapon,23,description,"A sword whose blade is clad in the power of Darkness.
It shall bring ruin to all those who face its evil."
Weapon,24,name,Mythril Sword
Weapon,24,description,"An ancient sword forged out of ""Lost Metal.""
The firm blade is like a well-polished mirror."
Weapon,25,name,Excalibur
Weapon,25,description,"A sacred sword with the power of light.
It shows the way to Cielo when swung."
Weapon,26,name,Balmung
Weapon,26,description,"A wide sword with a jewel embedded in it.
It is claimed to have slain an evil dragon."
Weapon,27,name,Obsidian
Weapon,27,description,"The blade shines black, cloaked with the power 
of a terrible darkness. It is said to lure all to Hell."
Weapon,28,name,Inferno Sword
Weapon,28,description,"Imbued with the power of fire, this red blade
can turn anything to ashes."
Weapon,29,name,Demon Sword Nebilim
Weapon,29,description,"A blood-stained demon blade whose power grows
with each kill. Its wielder has to live with this burden."
Weapon,30,name,Nail Bat
Weapon,30,description,"A bat that feels like the turn of the century.
Try not to swing it around others."
Weapon,31,name,Varuna
Weapon,31,description,"A sword with a clear blue blade.
It is said to promote ethics and maintain order."
Weapon,32,name,Divine Sword Varuna
Weapon,32,description,"A sword with otherwordly power capable of
governing over order and ethics."
Weapon,33,name,Single-Action Revolver
Weapon,33,description,"This gun was made several generations ago. Even 
though it’s old, it’ll work so long as it’s maintained."
Weapon,34,name,Military Handgun
Weapon,34,description,A military gun issued to Regnum soldiers.
Weapon,35,name,Dual-Action Revolver
Weapon,35,description,"A commonly used gun.
It’s designed for actual combat."
Weapon,36,name,Automatic Custom
Weapon,36,description,"An automatic pistol that boasts an increased
rate of fire."
Weapon,37,name,Rapid Trigger
Weapon,37,description,"A customized gun for quick firing.
Shoots enemies at blinding speeds."
Weapon,38,name,Strike Trigger
Weapon,38,description,"A gun with tweaks to facilitate aiming.
Nothing can escape its sights."
Weapon,39,name,Temple Custom
Weapon,39,description,"Standard issue for clergymen.
It’s easy to handle and can exorcise evil."
Weapon,40,name,Sekirei
Weapon,40,description,"A gun bearing the name of a bird local to Ashihara.
An exquisitely elaborate and delicate work."
Weapon,41,name,Aero Magnum
Weapon,41,description,"A gun with the power of wind.
Its bullets strike like a piercing gale."
Weapon,42,name,Quick Worker
Weapon,42,description,"A gun optimized for operational performance.
A must-have for rapid-firing gunmen!"
Weapon,43,name,Desert Burial
Weapon,43,description,A gun reliable even in bad weather conditions.
Weapon,44,name,Automatic Magnum
Weapon,44,description,"An automatic pistol that fires Magnum rounds.
While difficult to handle, its power makes up for it."
Weapon,45,name,Happy Trigger
Weapon,45,description,"A gun with the name of happiness.
Often mistaken for trigger happy."
Weapon,46,name,Hyper Magnum
Weapon,46,description,"Enhanced version of the Automatic Magnum.
Overall performance is improved."
Weapon,47,name,Silver Magnum
Weapon,47,description,"An ornamented gun made of silver.
Its holy might can banish demons."
Weapon,48,name,Billy’s Legacy
Weapon,48,description,"This magical gun is also a legendary gunman’s
namesake."
Weapon,49,name,Peacekeeper
Weapon,49,description,"The gun of one who opposes all conflict.
May it bring peace and happiness to all."
Weapon,50,name,Smash Trigger
Weapon,50,description,"A gun designed for maximum damage per shot.
Its rounds crush any opposition."
Weapon,51,name,Vortex Magnum
Weapon,51,description,"A gun always charged with electrical energy.
It fires shots akin to balls of lightning."
Weapon,52,name,Faust Magnum
Weapon,52,description,"A formerly benevolent gun tainted by darkness.
It harbors both happiness and agony."
Weapon,53,name,Mythril Magnum
Weapon,53,description,"A gun made of the lost metal. Lighter and easier
to handle than its appearance suggests."
Weapon,54,name,Gale Tracer
Weapon,54,description,"A gun named after its connection with strong gales.
The bullets fired from it trace their path in wind."
Weapon,55,name,Balsam
Weapon,55,description,"A gun fashioned with a bright red flower motif.
Its rounds burst like Balsam seeds when shot."
Weapon,56,name,Texas Blaze
Weapon,56,description,"An elaborately made gun said to be the
soul of a pioneer. Its fire creates new roads."
Weapon,57,name,Prominence Magnum
Weapon,57,description,"A gun with fire properties, dyed in
the crimson of  blazing flames."
Weapon,58,name,Blizzard Magnum
Weapon,58,description,"A gun envelopped in air as cold as a blizzard.
Bestowed with the power of water."
Weapon,59,name,Waganizer
Weapon,59,description,"A gun built in the image of a cutesy dinosaur.
Almost feels like you can hear its cry when you fire."
Weapon,60,name,Lucifer
Weapon,60,description,"A gun bearing the name of the Light Bringer.
It holds such authority that any demon would yield."
Weapon,61,name,Spirit Gun Lucifer
Weapon,61,description,"The true form of the Light Bringer’s gun.
Its immense power shows no mercy."
Weapon,62,name,Osafune
Weapon,62,description,"A famous blade from Ashihara.
Its sharp edge gleams beautifully."
Weapon,63,name,Dueling Blade
Weapon,63,description,"A sword typically used in duels.
Strength of will is reflected through every swing."
Weapon,64,name,Knight Rapier
Weapon,64,description,"A sword wielded by knights. Its slender blade
and sharp point make it ideal for thrusting."
Weapon,65,name,Blitz Blade
Weapon,65,description,"A sword specialized in powerful strikes.
It can subdue an opponent with lightning speed."
Weapon,66,name,Oriental Blade
Weapon,66,description,"An exotic sword.
Its simplicity does not detract from its elegance."
Weapon,67,name,Kagutsuchi
Weapon,67,description,"A sword bearing the name of the god of fire.
It grants its master fiery strength."
Weapon,68,name,Wind Rapier
Weapon,68,description,"A sword imbued with the power of wind.
So light every swing feels like a powerful gust."
Weapon,69,name,Crescent Blade
Weapon,69,description,"A sword shaped like a crescent moon.
Great cutting potential thanks to its curved design."
Weapon,70,name,Gattenshi
Weapon,70,description,"A sword with holy power.
The divinity within allows it to light up its surroundings."
Weapon,71,name,Skrama Blade
Weapon,71,description,"Single-edged straight sword.
The simple shape of its blade makes it easy to handle."
Weapon,72,name,Lightning Blade
Weapon,72,description,"A sword with the power of lightning.
Its voltaic shape instills fear on its opponents."
Weapon,73,name,Silver Rapier
Weapon,73,description,"Rapier made of silver.
A perfect sword to enact judgement upon the sinful."
Weapon,74,name,Shigure
Weapon,74,description,"A strange spirit blade whose blade always appears wet.
It is said its bearer will overflow with magical power."
Weapon,75,name,Vorpal Blade
Weapon,75,description,"A sword designed to fight against demonic beasts.
Its shining blade boasts razor sharpness."
Weapon,76,name,Formal Rapier
Weapon,76,description,"A sword officially adopted by the military.
It is however only bestowed to high ranking officials."
Weapon,77,name,Fire Blade
Weapon,77,description,"A sword blessed with the power of fire.
Its fiery blade embodies the heart of its wielder."
Weapon,78,name,Muramasa
