0,0,name,Fireball
0,0,description,"An entry-level arte that sends a scorching
ball of fire flying at the enemy."
0,1,name,Spiral Flare
0,1,description,"An arte for adepts that launches a
swirling mass of flame at the target."
0,2,name,Explosion
0,2,description,"An advanced arte that sets off a
devastating detonation over a wide area."
0,3,name,Demon Fang
0,3,description,"Creates a shockwave that
travels across the ground."
0,4,name,Sonic Shock
0,4,description,Quickly rushes down foes in front of you.
0,5,name,Coil
0,5,description,"Channels the heat of battle into a
temporary physical attack boost."
0,6,name,Demolishing Thrust
0,6,description,Jumps up and slams down on the enemy.
0,7,name,Crescent Strike
0,7,description,"Launches foes upwards with a sword
swing that traces an arcing moon."
0,8,name,Void Tempest
0,8,description,"Attacks surrounding enemies
with a spinning slash."
0,9,name,Center
0,9,description,Calms your body to restore some health.
0,10,name,Shining Eagle
0,10,description,"An upward slash that connects with
the ground to produce a shockwave."
0,11,name,Dragon Slayer
0,11,description,"Thrusts your weapon into the ground and
burns the surrounding enemies with fire."
0,12,name,Bestial Strike
0,12,description,"Swing your sword down two times,
crushing the enemy with force."
0,13,name,Hell Sword
0,13,description,Leap forward and send forth a blade of fire!
0,14,name,Tempest Strike
0,14,description,"Turns the user into a spinning blade
that slices savagely into the enemy."
0,15,name,Fissure Sweep
0,15,description,Cleaves the ground to unleash a shockwave.
0,16,name,Havoc Impact
0,16,description,"Generate shockwaves by slamming your
sword into the ground from a dive."
0,17,name,Crescent Flash
0,17,description,"Traces an arcing moon with your
sword twice in succession."
0,18,name,Crushing Fang
0,18,description,"Slashes an enemy upwards and immediately
follows up with a cleaving attack."
0,19,name,Rising Phoenix
0,19,description,"Envelopes your body in a phoenix’s aura
and burns the enemy in a plunge."
0,20,name,Hell Pyre
0,20,description,Rains fire down upon the enemy.
0,21,name,Infernal Torrent
0,21,description,"Slashes up and down with a flaming
sword, incinerating foes in front."
0,22,name,Pyre Demon Fang
0,22,description,"Creates a fire-infused shockwave
that travels across the ground."
0,23,name,Pyro Blitz
0,23,description,Cloak yourself in flame and rush down your foes!
0,24,name,Demonic Void
0,24,description,"An arte that combines Demon Fang
and Void Tempest."
0,25,name,Searing Gale
0,25,description,"Attack surrounding enemies with
an infernal spinning slash."
0,26,name,Tempest Eagle
0,26,description,"An arte that combines Shining Eagle
and Tempest Strike."
0,27,name,Tempest Moon
0,27,description,"An arte that follows up Tempest Strike
with a Crescent Strike."
0,28,name,Razing Phoenix
0,28,description,"Ascend with the aura of a phoenix
to burn enemies with its flames."
0,29,name,Infernal Spear
0,29,description,"Pierces and knocks down foes with
a single, fire-infused thrust."
0,30,name,Scarlet Supremacy
0,30,description,"Summons a spiral of flames and rushes
through, destroying foes in an explosion."
0,31,name,Demon Kingslayer
0,31,description,"Transforms into Demon King Asura and
slash foes with his scorching greatsword."
1,0,name,First Aid
1,0,description,"An entry-level arte that restores 30%
of a single party member’s HP."
1,1,name,Heal
1,1,description,"An arte for adepts that restores 50%
of a single party member’s HP."
1,2,name,Cure
1,2,description,"An advanced arte that restores 70%
of a single party member’s HP."
1,3,name,Recover
1,3,description,"An entry-level arte that cures a single
ally of any physical ailments."
1,4,name,Dispel
1,4,description,"An entry-level arte that purges any
negative status effects from an ally."
1,5,name,Resurrection
1,5,description,"An advanced arte that allows the caster
to put a KO’d ally back on their feet."
1,6,name,Ice Needles
1,6,description,"An entry-level arte that hails
icicles down upon your foes."
1,7,name,Spread
1,7,description,"An arte for adepts that causes a geyser
to gush forth from the ground beneath."
1,8,name,Final Embrace
1,8,description,"An advanced arte that plunges the target
into a devastating nightmare of ice."
1,9,name,Wind Blade
1,9,description,"An entry-level arte that slices the target
with razor-sharp blades of wind."
1,10,name,Crosswind
1,10,description,"An arte for adepts that assaults the enemy
from all sides with stinging whirlwinds."
1,11,name,Cyclone
1,11,description,"An advanced arte that engulfs the
target in a devastating twister."
1,12,name,Pow Hammer
1,12,description,"An entry-level arte that drops a daze-
inducing hammer on the target’s head."
1,13,name,Search Gald
1,13,description,"Crawls on the ground and searches for Gald.
You’ll be lucky if you find some!"
1,14,name,Twin Bullet
1,14,description,"Shoot the enemy with a series of
bullets after taking a backstep."
1,15,name,Strong Bullet
1,15,description,Fires two powerful bullets in a row.
1,16,name,Acro Bullet
1,16,description,"Leap into the air, spin like a top, and
shower your surroundings with lead."
1,17,name,Bubble Bullet
1,17,description,"Takes a shot at your target’s feet and
creates an explosion of bubbles."
1,18,name,Misty Arc
1,18,description,"Disperses bullets in a fan shaped
formation in front of you."
1,19,name,Flip Shot
1,19,description,"Shoots at the target’s feet and launches
them into the air with a roaring whirlwind."
1,20,name,Spiral Shot
1,20,description,Fires bullets clad in a spiraling wind.
1,21,name,Aqua Bullet
1,21,description,"Shoots at the target’s feet and creates
a geyser that knocks them into the air."
1,22,name,Blast Bullet
1,22,description,Fire a series of bullets from midair at a 45 degree angle.
1,23,name,Freeze Shot
1,23,description,"leap into the air and shower your surroundings with
ice bullets that form spikes of ice on impact."
1,24,name,Reflect Shot
1,24,description,"Fires a stream of bullets that ricochet
in succession around the target."
1,25,name,Aerial Barrage
1,25,description,"Blast the enemy into the air, then barrage
them with a stream of bullets."
1,26,name,Falling Shot
1,26,description,"Fires a mass of energy above the target’s head,
which explodes and pours down upon them."
1,27,name,Raging Shot
1,27,description,"Fires a wind magic bullet that unleashes a storm
upon impact. The bullet travels in an arc."
1,28,name,Freeze Lancer
1,28,description,Fires a delayed barrage of icy spears in front of you.
1,29,name,Burst Shot
1,29,description,"A shot that explodes upon impact,
engulfing the surrounding enemies."
1,30,name,Absolute Zero
1,30,description,"Fires a large number of ice magic bullets,
freezing and crushing the enemy."
1,31,name,Ruined Vain Wish
1,31,description,"Transforms into Inanna and summons cyclones
and meteors to destroy everything in your path."
2,0,name,Lightning
2,0,description,"An entry-level arte that summons a
bolt of lightning to strike the target."
2,1,name,Spark Wave
2,1,description,"An arte for adepts that imprisons the
target in a swirling sphere of lightning."
2,2,name,Thunder Blade
2,2,description,"An advanced arte that calls down a sword
of pure electricity from on high."
2,3,name,Sonic Thrust
2,3,description,"Gets up close and personal to slash the
enemy with both swords simultaneously."
2,4,name,Tiger Blade
