0,0,なし
0,1,なし
0,2,なし
0,3,なし
0,4,なし
0,5,なし
0,6,なし
0,7,なし
0,8,なし
0,9,なし
0,10,コイツ…ホントに大丈夫？
0,11,ホント、頼りないヤツ
0,12,もっとしっかりすれば……
0,13,最近やるじゃない
0,14,イジりがいがあるわよね
0,15,なぁんか、良い感じよね
0,16,頼りにしてるわよ！
0,17,一緒にいると楽しいわ
0,18,出会えてよかったと思うわ
0,19,ま、これからもヨロシクね
0,20,ウジウジした野郎だぜ
0,21,もっとハッキリ言いやがれ
0,22,甘いけどイイヤツじゃん
0,23,ちょっとはやるじゃねぇか
0,24,オレも負けてられねぇぜ！
0,25,イジりがいのあるヤツだぜ
0,26,サイコーの親友だぜ！
0,27,前世の縁に感謝だな
0,28,こいつとなら、戦えるぜ
0,29,オレが全力で守る！
0,30,前世の縁って、不思議ね
0,31,もっと心を開いて欲しいな
0,32,いろんな話をしてみたいわ
0,33,自分を好きになってあげて
0,34,弟ってこんな感じかな？
0,35,頑張ってるみたいね
0,36,頼もしくなってきたわね
0,37,あなたがいるだけで安心よ
0,38,良い仲間に出会えたわ
0,39,わたしの背中、お願いね
0,40,子守は勘弁だ
0,41,護衛の邪魔だ
0,42,気の弱いガキだ
0,43,見直した
0,44,意外とやるものだな
0,45,仲間というのも悪くないな
0,46,将来が楽しみだな
0,47,頼もしくなってきたな
0,48,安心して背中を任せられる
0,49,言葉にせずとも良いだろう
0,50,ちょっと頼りないなぁ
0,51,ウチがいないとあかんなぁ
0,52,手間のかかる子や
0,53,最近、エエ感じとちゃう？
0,54,たくましくなったなぁ
0,55,ウチも頑張らないとあかん
0,56,安心して背中任せられるわ
0,57,兄ちゃんといると温かいわ
0,58,ウチの大事な人や！
0,59,ウチが守ったるわ！
0,60,ルカ・ミルダ。興味深いね
0,61,見ていて飽きないよ
0,62,想像よりも大人しいね
0,63,もっと心を開けばいいのに
0,64,ボクから歩みよろうかな
0,65,最近、しっかりしてきたね
0,66,少し頼もしくなってきたね
0,67,見違えるほど成長したね
0,68,彼の持つ空気は心地よいね
0,69,絆…ね。悪くはないかな
0,70,名前覚える、難しい…
0,71,ルカ、いい人
0,72,もとルカのこと知りたい
0,73,キュキュの友達
0,74,頼ってくれる、うれしい
0,75,信頼できる仲間
0,76,ルカ、すごく頑張ってる
0,77,後ろ、任せた！
0,78,一緒なら、誰にも負けない
0,79,キュキュ、ルカ大好き
1,0,すごい可愛い子だなぁ
1,1,僕じゃ釣り合わないよね…
1,2,アスラみたいになれたら…
1,3,勇気を出さなきゃ…！
1,4,もっと仲良くなりたいなぁ
1,5,一緒にいるとすごく楽しい
1,6,彼女を支えられたら…
