0,
1,ルカ
2,アスラ
3,イリア
4,イナンナ
5,スパーダ
6,デュランダル
7,アンジュ
8,オリフィエル
9,リカルド
10,ヒュプノス
11,エルマーナ
12,ヴリトラ
13,コンウェイ
14,キュキュ
15,コーダ
16,マティウス
17,魔王
18,チトセ
19,サクヤ
20,シアン
21,ケル
22,ベロ
23,ケルベロス
24,オズバルド
25,ハスタ
26,ゲイボルグ
27,ガードル
28,タナトス
29,アルベール
30,ヒンメル
31,ルカの父
32,ルカの母
33,エディ
34,ニーノ
35,ハルトマン
36,ガエタノ
37,ミケーレ
38,商店主
39,用心棒
40,子分
41,イリアのパパ
42,イリアのママ
43,アンジュの兄
44,バルカン
45,ポゥじいさん
46,ジロチョウ
47,普通の墓守
48,個性的な墓守
49,門番
50,センサス兵
51,元老院
52,ラティオ兵
53,マッドアンデッド
54,枢密院
55,王都兵
56,王都兵Ａ
57,王都兵Ｂ
58,王都兵Ａ
59,王都兵Ｂ
60,王都兵Ｃ
61,王都軍衛生兵
62,王都軍補給兵
63,王都軍指揮官
64,王都軍ロボット
65,教団信者
66,教団兵
67,教団兵Ａ
68,教団兵Ｂ
69,教団兵Ａ
70,教団兵Ｂ
71,教団兵上官
72,ガラム兵
73,衛生兵
74,テノス兵
75,グリゴリ兵
76,グリゴリ兵Ａ
77,グリゴリ兵Ｂ
78,グリゴリ兵Ａ
79,グリゴリ兵Ｂ
80,グリゴリ学者
81,グリゴリの民
82,男
83,みんな
84,一同
85,おじいさん
86,おばあさん
87,おじさん
88,おばさん
89,おにいさん
90,おにいさんＡ
91,おにいさんＢ
92,おねえさん
93,男の子
94,女の子
95,イヌ
96,ネコ
97,小鳥
98,ヒナ
99,船員
100,作業員
101,冒険家
102,冒険者
103,剣士
104,傭兵
105,料理人
106,執事
107,メイド
108,行商人
109,怪しい商人
110,花売りの少女
111,酒場のマスター
112,バニーガール
113,占い師
114,鍛冶師
115,野盗
116,野盗たち
117,野盗Ａ
118,野盗Ｂ
119,野盗Ａ
120,野盗Ｂ
121,チンピラ
122,酔っ払い
123,酔っ払いＡ
124,酔っ払いＢ
125,母親
126,悩めるおにいさん
127,おっちゃん
128,番台
129,看板
130,魔物
131,警備
132,受付
133,実況野郎
134,実況代理
135,ぷにぷにおねえさん
136,ぷにぷにミュース族
137,ジャンケンマスター
138,連打マスター
139,石取りマスター
140,会長
141,会員番号００２
142,会員番号００３
143,会員番号００４
144,会員番号００５
145,会員番号０１０
146,シンジャーレッド
147,シンジャーブルー
148,シンジャーグリーン
149,シンジャーイエロー
150,シンジャーホワイト
151,シンジャーファイブ
152,泉の妖精
153,金のコーダ
154,銀のコーダ
155,ナレーション
156,ルカデレラ
157,意地悪な姉１
158,意地悪な姉２
159,継母
160,王子様
161,側近
162,バーナード
163,ハリー
164,ライナス
165,アントン
166,ダリル
167,ネコスキー
168,ネコズキー
169,長老ローダ
170,ガーダ
171,ムーダ
172,オーダ
173,クーダ
174,シーダ
175,キーダ
176,ナーダ
177,アーダ
178,ソーダ
179,ハーダ
180,ワンダーシェフ
181,乗船受付
182,宿屋
183,武器・防具屋
184,道具・食材屋
185,グレードショップ
186,ミラ
187,ヒスイ
188,コハク
189,？？？
190,狙撃手
191,料理長
192,ホットドッグ屋
193,マティウス
194,噂好きのおにいさん
195,情報通のおにいさん
196,トロ
197,クロ
198,工場長
199,バルカンの思念体
200,行商人の思念体
201,２人
202,金の像
203,執事見習い
204,ゴーダ
