0,title,,移動１
0,text,0,戦闘時はdpadで移動します。
0,text,1,dpad_ldpad_rで前進後退を行い
0,text,2,dpad_uでジャンプを行います。
0,text,3,　
0,text,4,操作モードがセミオートの時は
0,text,5,{remap_square}を押しながらdpad_uで
0,text,6,ジャンプすることができます。
1,title,,移動２
1,text,0,left_analogで前進や後退の移動だけでなく
1,text,1,自由に動き回ることができます。
1,text,2,　
1,text,3,これを{blue}フリーラン{white}と呼びます。
1,text,4,　
1,text,5,敵の攻撃を避ける際や
1,text,6,好きな位置取りをしたい際などに
1,text,7,役立ちます。
2,title,,移動３
2,text,0,ガード中にdpad_duをターゲットの方向に
2,text,1,素早く２回入力することで
2,text,2,ダッシュが行えます。
2,text,3,ガード中にdpad_duをターゲットの逆方向に
2,text,4,素早く２回入力すると
2,text,5,バックステップが行えます。
2,text,6,　
2,text,7,どちらも移動中は無敵になり
2,text,8,敵をすり抜けて移動できます。
3,title,,通常攻撃
3,text,0,{remap_circle}で通常攻撃ができます。
3,text,1,dpadをdpad_udpad_dに入力しながら
3,text,2,{remap_circle}を押すと更に色々な
3,text,3,攻撃を出すことができます。
3,text,4,　
3,text,5,操作モードがセミオートの時は
3,text,6,自動で敵に近づいて攻撃します。
4,title,,フリーラン攻撃
4,text,0,{blue}フリーラン{white}時に{remap_circle}を押すことで
4,text,1,攻撃を出すことができ
4,text,2,その攻撃を当てることで
4,text,3,当てた相手にターゲットが
4,text,4,自動的に変更されます。
4,text,5,これを{blue}フリーラン攻撃{white}と呼びます。
5,title,,術技
5,text,0,{remap_cross}でキャラクター特有の
5,text,1,{blue}術{white}や{blue}技{white}を出すことができます。
5,text,2,　
5,text,3,{blue}術技{white}は{remap_triangle}で開くメニューの
5,text,4,「術技」でdpaddpad_udpad_ddpad_duに
5,text,5,設定することが可能で
5,text,6,{remap_cross}との組み合わせで様々な
5,text,7,{blue}術技{white}を出すことができます。
6,title,,ガード
6,text,0,{remap_square}で{blue}ガード{white}を行います。
6,text,1,ガードは敵の術以外の攻撃を防ぎ
6,text,2,ダメージを軽減することができます。
6,text,3,　
6,text,4,また、{blue}ガード{white}中に
6,text,5,dpad_dを押し続けることで
6,text,6,{blue}マジックガード{white}を行うことができます。
6,text,7,{blue}マジックガード{white}は敵の術攻撃を防ぎ
6,text,8,ダメージを軽減します。
7,title,,アイテムの使用
7,text,0,{blue}アイテム{white}を使用する際は
7,text,1,{remap_triangle}でメニューを開き
7,text,2,「アイテム」を選択します。
7,text,3,使用したい{blue}アイテム{white}を選択し
7,text,4,対象を選択すると使用します。
7,text,5,　
7,text,6,{blue}アイテム{white}を使用したあと
7,text,7,{blue}アイテムゲージ{white}表示中は
7,text,8,再び使用することはできません。
8,title,,逃走１
8,text,0,戦闘から{blue}逃走{white}する際は
8,text,1,{remap_triangle}でメニューを開き
8,text,2,「逃走」を選択します。
8,text,3,　
8,text,4,この時に表示されるゲージ
8,text,5,
8,text,6,が時間経過で減少し、なくなると
8,text,7,{blue}逃走成功{white}となります。
9,title,,逃走２
