"0","0","name","ファイアボール","Fireball"
"0","0","description","対象に火炎弾を放つ初級天術","An entry-level arte that sends a scorching
ball of fire flying at the enemy."
"0","1","name","スパイラルフレア","Spiral Flare"
"0","1","description","対象に渦巻く炎の塊を打ち出す中級天術","An arte for adepts that launches a
swirling mass of flame at the target."
"0","2","name","エクスプロード","Explosion"
"0","2","description","対象の足元に凄まじい熱量の大爆発を引き起し
広範囲を巻き込む上級天術","An advanced arte that sets off a
devastating detonation over a wide area."
"0","3","name","魔神剣","Demon Fang"
"0","3","description","武器を瞬時に振り抜くことで
地を這う衝撃波を放ち敵を攻撃する特技","Creates a shockwave that
travels across the ground."
"0","4","name","瞬迅衝","Sonic Shock"
"0","4","description","素早い突進を繰り出す特技","Quickly rushes down foes in front of you."
"0","5","name","剛招来","Coil"
"0","5","description","精神を集中させ、一定時間物理攻撃力を高める特技","Channels the heat of battle into a
temporary physical attack boost."
"0","6","name","崩襲剣","Demolishing Thrust"
"0","6","description","急降下して敵を叩き斬る特技","Jumps up and slams down on the enemy."
"0","7","name","弧月閃","Crescent Strike"
"0","7","description","斬り上げて敵を空中に打ち上げる。
武器の軌跡が月を描く特技","Launches foes upwards with a sword
swing that traces an arcing moon."
"0","8","name","真空破斬","Void Tempest"
"0","8","description","回転斬りで周囲の敵を攻撃する特技","Attacks surrounding enemies
with a spinning slash."
"0","9","name","集気法","Center"
"0","9","description","気を静めて自身の体力を回復させる特技","Calms your body to restore some health."
"0","10","name","義翔閃","Shining Eagle"
"0","10","description","地面を抉ることで生じた衝撃波で攻撃する特技","An upward slash that connects with
the ground to produce a shockwave."
"0","11","name","屠龍閃","Dragon Slayer"
"0","11","description","武器を地面に突き刺し
吹き上げる炎で周囲の敵を焼き尽くす特技","Thrusts your weapon into the ground and
burns the surrounding enemies with fire."
"0","12","name","猛襲撃","Bestial Strike"
"0","12","description","力任せに武器を二連続で振り下ろし
敵を叩き斬る特技","Swing your sword down two times,
crushing the enemy with force."
"0","13","name","爆炎剣","Hell Sword"
"0","13","description","前方に飛び掛りながら
炎を纏わせた武器で斬り付ける特技","Leap forward and send forth a blade of fire!"
"0","14","name","裂空斬","Tempest Strike"
"0","14","description","空中回転斬りで連続で敵を攻撃する秘技","Turns the user into a spinning blade
that slices savagely into the enemy."
"0","15","name","轟衝破斬","Fissure Sweep"
"0","15","description","薙ぎ払いで生じた衝撃波で攻撃する秘技","Cleaves the ground to unleash a shockwave."
"0","16","name","崩襲震衝","Havoc Impact"
"0","16","description","急降下で武器を地面に叩きつけることで
発生する衝撃波を浴びせる秘技","Generate shockwaves by slamming your
sword into the ground from a dive."
"0","17","name","弧月双閃","Crescent Flash"
"0","17","description","弧月閃を続けて二度繰り出す秘技","Traces an arcing moon with your
sword twice in succession."
"0","18","name","砕狼牙","Crushing Fang"
"0","18","description","敵を斬り上げた直後に薙ぎ払いで追撃する秘技","Slashes an enemy upwards and immediately
follows up with a cleaving attack."
"0","19","name","鳳凰天駆","Rising Phoenix"
"0","19","description","鳳凰のオーラを全身に纏い
急降下で敵を焼き尽くす秘技","Envelopes your body in a phoenix’s aura
and burns the enemy in a plunge."
"0","20","name","紅蓮剣","Hell Pyre"
"0","20","description","闘気で練り上げた火球を
空中から敵に向かって放つ秘技","Rains fire down upon the enemy."
"0","21","name","魔王炎撃破","Infernal Torrent"
"0","21","description","炎を纏った武器で斬り上げ、斬り下ろす秘技
軌道には炎が噴出する","Slashes up and down with a flaming
sword, incinerating foes in front."
"0","22","name","魔神剣・焔","Pyre Demon Fang"
"0","22","description","炎を纏った魔神剣を繰り出す秘技","Creates a fire-infused shockwave
that travels across the ground."
"0","23","name","烈火爆炎走","Pyro Blitz"
"0","23","description","炎を身に纏い突進を繰り出す奥義","Cloak yourself in flame and rush down your foes!"
"0","24","name","絶空魔神撃","Demonic Void"
"0","24","description","魔神剣と真空破斬を組み合わせた奥義","An arte that combines Demon Fang
and Void Tempest."
"0","25","name","熱波旋風陣","Searing Gale"
"0","25","description","炎を纏わせた武器で真空破斬を放ち
周囲の敵を薙ぎ払う奥義","Attack surrounding enemies with
an infernal spinning slash."
"0","26","name","鷹爪烈風剣","Tempest Eagle"
