"Use","0","name","アップルグミ","Apple Gel"
"Use","0","description","HPが最大値の30％分回復。
ガルポス産の新鮮なリンゴを使用","Made from the freshly picked apples of Galpos,
these juicy gels restore HP by 30%."
"Use","1","name","レモングミ","Lemon Gel"
"Use","1","description","HPが最大値の60％分回復。
レモン味。このすっぱさがクセになる","These sour yet surprisingly popular
gels restore HP by 60%."
"Use","2","name","オレンジグミ","Orange Gel"
"Use","2","description","TPが最大値の30％分回復。
オレンジ味。優しい甘さが人気","These tangy yet pleasantly sweet
gels restore TP by 30%."
"Use","3","name","パイングミ","Pineapple Gel"
"Use","3","description","TPが最大値の60％分回復。
ガルポス産の完熟パインを使用","Made from sun-soaked pineapples of Galpos,
these juicy gels restore TP by 60%."
"Use","4","name","ミックスグミ","Melange Gel"
"Use","4","description","HPとTPが最大値の30％分回復。
トロピカルなフルーツミックス味","These gels, made from a mixture of
tropical fruits, restore HP and TP by 30%."
"Use","5","name","ミラクルグミ","Miracle Gel"
"Use","5","description","HPとTPが最大値の60％分回復。
ミラクルな味をあなたに","These gels, which restore HP and TP by
60%, have to be tasted to be believed."
"Use","6","name","スペシフィック","Specific"
"Use","6","description","パーティー全員のHPを最大値の30％分回復。
周囲にまいて使う","Restores 30% of Max HP for all party members.
Spread around the area to use it."
"Use","7","name","トリート","Treat"
"Use","7","description","パーティー全員のTPを最大値の30％分回復。
周囲にまいて使う","Restores 30% of Max TP for all party members.
Spread around the area to use it."
"Use","8","name","ポイズンボトル","Poison Bottle"
"Use","8","description","毒を回復する薬。
苦くても効果は抜群。旅の必需品","This powerful antidote may taste bitter,
but it works like a charm against poison."
"Use","9","name","ウィークボトル","Weak Bottle"
"Use","9","description","衰弱を回復する薬。
元気のみなもと。グイっといこう","This weakness-conquering pick-me-up
should be glugged down with gusto."
"Use","10","name","パラライボトル","Paralysis Bottle"
"Use","10","description","麻痺を回復する薬。
劇薬扱いなので多用は禁物","This potent anti-paralysis medicine
should be handled carefully."
"Use","11","name","フィアーボトル","Terror Bottle"
"Use","11","description","恐怖を回復する薬。
気合でなんとかできれば苦労はない","A cure for terror. With enough courage,
nothing can get in your way!"
"Use","12","name","ストーンボトル","Stone Bottle"
"Use","12","description","石化を回復する薬。
臭いので取り扱いには注意","Beware the eye-watering odor of this
fast-acting cure for petrifaction."
"Use","13","name","キュアボトル","Cure Bottle"
"Use","13","description","全ての状態異常を回復。
爽やかなハーブの香りで心まで軽やかに","A liquid whose invigorating fragnance lightens
the heart and cures all Physical Ailments."
"Use","14","name","ディネイボトル","Dinei Bottle"
"Use","14","description","全ての悪い状態変化を解除。
濃厚な花の香りが疲れた心を癒す","A liquid whose rich flowery fragnance soothes the
worn-out heart and cures all Magical Ailments."
"Use","15","name","パナシーアボトル","Panacea Bottle"
"Use","15","description","状態異常・悪い状態変化を全て回復。
まさに万能な薬。ひとつは持っておきたい","This miracle cure treats all known
physical ailments and status effects."
"Use","16","name","ライフボトル","Life Bottle"
"Use","16","description","戦闘不能の仲間１人のHPを30％
TPを15％回復してくれる霊水","Puts a fallen ally back on their feet with
30% of HP and 15% of TP restored."
"Use","17","name","エリクシール","Elixir"
"Use","17","description","全状態異常・悪い状態変化、戦闘不能を回復し
HP・TPを最大まで回復する秘薬","Fully restores TP and HP, remedies KO, and
cures all physical and status ailments."
"Use","18","name","ダークボトル","Dark Bottle"
"Use","18","description","一定時間、魔物を引き寄せる。
…覚悟なき者、其の力、安易に使うことなかれ","This liquid attracts monsters for a fixed amount of 
time. One should not carelessly use it if unprepared."
"Use","19","name","ハイダークボトル","Umbra Bottle"
"Use","19","description","一定時間、強力な力で魔物を引き寄せる。
…其の強大な力に滅ぼされんことを","This unholy substance courts disaster by
summoning an unstoppable wave of monsters."
"Use","20","name","ホーリィボトル","Holy Bottle"
"Use","20","description","一定時間、敵を寄せ付けない。
…聖なる力を宿せし水、彼の者の旅路に祝福を","A bottle sealed with holy liquid, it keeps 
enemies away for a certain amount of time."
"Use","21","name","ハイホーリィボトル","Sacrosanct Bottle"
"Use","21","description","一定時間、強力な力で敵を寄せ付けない。
…彼の者に、聖なる光の道を","This sanctified water stops enemies from
attacking altogether for a short while."
"Use","22","name","セージ","Sage"
"Use","22","description","最大HPが永久に10上昇する。
滋養強壮の効果がある薬草","Permanently increases maximum HP by 10.
An herb with nourishing properties."
"Use","23","name","レッドセージ","Red Sage"
"Use","23","description","最大HPが永久に30上昇する。
セージの中でも選りすぐりの高級品","Permanently increases maximum HP by 30.
The finest harvest amongst all sages."
"Use","24","name","セボリー","Savory"
"Use","24","description","最大TPが永久に5上昇する。
精神安定効果のある薬草","Permanently increases maximum TP by 5.
An herb that calms the mind when consumed."
"Use","25","name","レッドセボリー","Red Savory"
"Use","25","description","最大TPが永久に10上昇する。
セボリーの中でも選りすぐりの高級品","Permanently increases maximum TP by 10.
The finest harvest amongst all savories."
"Use","26","name","ラベンダー","Lavender"
"Use","26","description","物攻が永久に1上昇する。
煎じて飲むと力がつくといわれる薬草","Permanently increases maximum P. ATK by 1.
Said to increase strength when drunk as a concoction."
"Use","27","name","レッドラベンダー","Red Lavender"
"Use","27","description","物攻が永久に3上昇する。
ラベンダーの中でも選りすぐりの高級品","Permanently increases maximum P. ATK by 3.
The finest harvest amongst all lavenders."
"Use","28","name","ベルベーヌ","Verbena"
"Use","28","description","物防が永久に1上昇する。
体を丈夫にしてくれるといわれる薬草","Permanently increases maximum P. DEF by 1.
Said to make your body robust when consumed."
"Use","29","name","レッドベルベーヌ","Red Verbena"
"Use","29","description","物防が永久に3上昇する。
熟成させ、効果を最大限まで引き出した高級品","Permanently increases maximum P. DEF by 3.
A luxury item, aged to maximize its benefits."
"Use","30","name","カモミール","Chamomile"
"Use","30","description","術攻が永久に1上昇する。
集中力アップの効果があるといわれる薬草","Permanently increases maximum A. ATK by 1.
Said to improve one’s concentration when consumed."
"Use","31","name","レッドカモミール","Red Chamomile"
"Use","31","description","術攻が永久に3上昇する。
希少価値が高く、効果も高い薬草","Permanently increases maximum A. ATK by 3.
An extremely rare and effective herb."
"Use","32","name","サフラン","Saffron"
"Use","32","description","術防が永久に1上昇する。
くじけぬ強い心をつくるといわれる薬草","Permanently increases maximum A. DEF by 1.
Said to build a strong, unyielding heart when consumed."
"Use","33","name","レッドサフラン","Red Saffron"
"Use","33","description","術防が永久に3上昇する。
サフランの中でも選りすぐりの高級品","Permanently increases maximum A. DEF by 3.
The finest harvest amongst all saffrons."
"Use","34","name","オールディバイド","All-Divide"
"Use","34","description","敵･味方問わず全てのダメージを半減する
不思議空間を作り出してくれる","Reduces all damage inflicted on allies
and enemies during battle by 50%."
"Use","35","name","スペクタクルズ","Magic Lens"
"Use","35","description","敵のステータスを調べることが出来る。
味方を覗いても透けて見えない","Enables the user to examine an enemy’s
statistics. Can’t be used on allies."
"Weapon","0","name","Eddy’s Sword","Eddie’s Sword"
"Weapon","0","description","一見、頑丈そうに見えるが、ただのハリボテ。
しかし殴られると大人でも痛い","It looks sturdy, but it’s just a toy. Though,
it’ll still hurt if someone wacks you with it."
"Weapon","1","name","ブロードソード","Broadsword"
"Weapon","1","description","幅広の両手剣。突くことよりも、
断ち切ることに重みが置かれている","A wide, two-handed sword. Rather than 
piercing, the emphasis is on slashing."
"Weapon","2","name","アイアンソード","Iron Sword"
"Weapon","2","description","鉄で作られた剣。細身ながらも
頑丈な作りのため、冒険者に愛されている","A sword made of iron. It is beloved by
adventurers for being slender yet sturdy."
"Weapon","3","name","グレートソード","Great Sword"
"Weapon","3","description","とても大きな両手剣。重量を生かし
叩きつけるように攻撃することもしばしば","A very large two-handed sword. Its attacks take 
advantage of its weight to deal lethal blows."
"Weapon","4","name","バトルソード","Battle Sword"
"Weapon","4","description","汎用性と実用性を突き詰めた剣。
熟練者からは使いやすいと評判","A versatile and useful military sword.
The broad blade adds weight and durability."
"Weapon","5","name","ラディウスソード","Radius Sword"
"Weapon","5","description","光の力を纏いし剣。その刀身は切った者を
浄化するほどの力を秘めているという","A sword clad with the power of light. Its blade
has the power to purify those who are cut by it."
"Weapon","6","name","柳葉刀","Willow Leaf Sword"
"Weapon","6","description","アシハラで主流の片刃の剣。
幅広の刃のため、重量を生かす戦い方をする","A single-edged sword common in Ashihara.
Users utilize its broadness in their fighting styles."
"Weapon","7","name","バスタードソード","Bastard Sword"
"Weapon","7","description","見た目に反し、斬ることだけではなく
突くことにも適した剣","A sword capable of both piercing and slashing.
Contrary to its looks, it’s well-balanced."
"Weapon","8","name","ストームソード","Storm Sword"
"Weapon","8","description","風の力を宿した剣。
吹きすさびし風は剣となり盾にもなる","Sword imbued with the power of the wind.
A blowing wind can be both sword and shield."
"Weapon","9","name","グリムソード","Grim Sword"
"Weapon","9","description","魔剣を模して作られた剣。
ガラムの職人の魂が込められた一品","A sword made to resemble a magical sword.
Part of it contains the soul of Garam’s craftsmen."
"Weapon","10","name","スチールソード","Steel Sword"
"Weapon","10","description","はがねで作られた剣。
シンプル・イズ・ベスト","A sword made of steel.
Simplicity at its finest."
"Weapon","11","name","シャープネスソード","Sharpness Sword"
"Weapon","11","description","切れ味の鋭い剣。うっかり自分を
切ってしまわないよう取り扱いに注意","A sword with a sharp edge. Handle it with
care so you don’t accidentally cut yourself."
"Weapon","12","name","ハピネスソード","Happiness Sword"
"Weapon","12","description","幸せの名を持つ剣。
職人の願いが込められている","A sword endowed with the name happiness.
Carries its craftsman’s wishes."
"Weapon","13","name","マジカルソード","Magical Sword"
"Weapon","13","description","魔法のようにマジカルな剣。
どこがマジカルなのかは誰も知らない","A magically magical sword.
What’s magical about it, no one knows."
"Weapon","14","name","ヒートソード","Heat Sword"
"Weapon","14","description","炎を彷彿とさせる赤い刀身が特徴。
まるでガルポスの炎天を象徴するかのよう","It features a red blade reminiscent of flames.
It seems to symbolize the blazing sun of Galpos."
"Weapon","15","name","ゼピュロス","Zephyros"
"Weapon","15","description","風の力が宿りし剣。溢れんばかりの力が
刀身を緑に染め上げている","Sword imbued with the power of the wind.
The overflowing power has dyed the blade green."
"Weapon","16","name","ツヴァイハンダー","Zweihander"
"Weapon","16","description","巨大な剣。その大きさゆえに
重量と大きさを生かした戦法が中心となっている","A huge sword. Due to its size, it is best
used by styles that use a blade’s weight."
"Weapon","17","name","アイスコフィン","Ice Coffin"
"Weapon","17","description","「氷の霊柩」の名を持つ剣。
霊柩の力により持つものに魔力を与えるという","A sword with the epithet ""Ice Coffin."" It is said this
coffin grants magical power to he who wields it."
"Weapon","18","name","ボルテックソード","Voltaic Sword"
"Weapon","18","description","常に雷を纏っている剣。
その刃を受けし身には、非情なる力が駆け抜ける","A sword infused with lightning. A ruthless jolt
pierces those at the receiving end of this blade."
"Weapon","19","name","ルーンソード","Rune Sword"
"Weapon","19","description","特殊な術式が施された剣。
その力により、驚くほど軽く扱いやすい","A sword enhanced by means of an arcane rite.
Its power makes it surprisingly light and easy to handle."
"Weapon","20","name","クレイソード","Clay Sword"
"Weapon","20","description","土の力を宿す剣。
牙を剥く者を母なる大地へと還元する","A sword containing the power of the earth.
All those who opposite it shall return to Mother Earth."
"Weapon","21","name","グロリアスソード","Glorious Sword"
"Weapon","21","description","「名誉」の名を持つ剣。
使い手を名誉ある地位へと導くといわれている","A sword with the epithet ""Honor.""
It is said to lead the user to a prestigious position."
"Weapon","22","name","フランベルジュ","Flamberge"
"Weapon","22","description","炎の力を纏いし刀身は
刃に触れし者を灼熱の炎で包み込む","A magic sword resembling a sunset. One touch
of the scorching blade is enough to dry the sea."
"Weapon","23","name","イヴィルソード","Evil Sword"
"Weapon","23","description","闇の力を纏いし刀身は黒く染まり
刃に触れし者を負の力で蝕む","A sword whose blade is clad in the power of Darkness.
It shall bring ruin to all those who face its evil."
"Weapon","24","name","ミスリルソード","Mythril Sword"
"Weapon","24","description","「失われた金属」で作られた剣。
強固な刀身はまるで磨かれた鏡のよう","An ancient sword forged out of ""Lost Metal.""
The firm blade is like a well-polished mirror."
"Weapon","25","name","エクスカリバー","Excalibur"
"Weapon","25","description","光の力を宿した聖なる剣。
その剣が描く軌道は安らかなる天への旅路を示す","A sacred sword with the power of light.
It shows the way to Cielo when swung."
"Weapon","26","name","バルムンク","Balmung"
"Weapon","26","description","宝玉が埋め込まれた幅広の剣。
その一撃は、かつて邪龍をも打ち倒したという","A wide sword with a jewel embedded in it.
It is claimed to have slain an evil dragon."
"Weapon","27","name","オブシディアン","Obsidian"
"Weapon","27","description","禍々しい闇の力を纏う刀身は黒く輝く。
すべての者を黄泉へと誘うという","The blade shines black, cloaked with the power 
of a terrible darkness. It is said to lure all to Hell."
