"0","0","name","アイテム引き継ぎ","Keep Items"
"0","0","description","所持しているアイテムを一部を除き、引き継ぎます","Carries over most of your items."
"0","1","name","ガルド引き継ぎ","Keep Gald"
"0","1","description","所持しているガルドを引き継ぎます","Carries over all of your current gald."
"0","2","name","GRADE引き継ぎ","Keep Grade"
"0","2","description","所持しているGRADEを引き継ぎます","Carries over all of your current Grade."
"0","3","name","パラメータ引き継ぎ","Keep Parameters"
"0","3","description","レベル、パラメータ、スタイル、
術技、料理LVを引き継ぎます","Carries over everyone’s levels, parameters, styles, artes, and cooking levels."
"0","4","name","称号引き継ぎ","Keep Titles"
"0","4","description","称号を引き継ぎます","Carries over all of your current titles."
"0","5","name","絆値引き継ぎ","Keep Bonds"
"0","5","description","絆値を引き継ぎます","Carries over everyone’s bond levels."
"0","6","name","レイヴ引き継ぎ","Keep Raves"
"0","6","description","所持しているレイヴアビリティと
レイヴレベルを引き継ぎます","Carry all Rave Abilities and Rave Levels you currently possess."
"0","7","name","作戦引き継ぎ","Keep Strategies"
"0","7","description","所持している作戦を引き継ぎます","Carries over all strategy conditions that you’ve collected."
"0","8","name","レシピ引き継ぎ","Keep Recipes"
"0","8","description","所持しているレシピを引き継ぎます","Carries over all recipes collected."
"0","9","name","キャラ使用回数引き継ぎ","Keep Character Battle Totals"
"0","9","description","戦闘でのキャラクター使用回数を引き継ぎます","Carries over the number of times each character has been
used in battle."
"0","10","name","アイテム所持数30個","30-Item Carry Limit"
"0","10","description","アイテム所持数の最大を30個にします","Sets the maximum number of items that can be carried to 30."
"0","11","name","アイテム所持数60個","60-Item Carry Limit"
"0","11","description","アイテム所持数の最大を60個にします","Sets the maximum number of items that can be carried to 60."
"0","12","name","アイテム所持数99個","99-Item Carry Limit"
"0","12","description","アイテム所持数の最大を99個にします","Sets the maximum number of items that can be carried to 99."
"0","13","name","獲得経験値0．5倍","Half Experience"
"0","13","description","獲得経験値を0．5倍にします","Decrease the amount of EXP earned to half."
"0","14","name","獲得経験値2倍","Double Experience"
"0","14","description","獲得経験値を2倍にします","Increase the amount of EXP earned by 2x."
"0","15","name","獲得経験値5倍","5x Experience"
"0","15","description","獲得経験値を5倍にします","Increase the amount of EXP earned by 5x."
"0","16","name","獲得ガルド2倍","Double Gald"
"0","16","description","獲得ガルドを2倍にします","Double the amount of gald earned after battles."
"0","17","name","獲得GRADE2倍","Double Grade"
"0","17","description","獲得GRADEを2倍にします","Double the amount of grade earned after battles."
"0","18","name","獲得AP2倍","Double AP"
"0","18","description","獲得APを2倍にします","Double the amount of AP earned after battles."
"0","19","name","OVL上昇アップ","OVL Gauge UP"
"0","19","description","OVLゲージの上昇率をアップさせます","Increases the speed at which the Over Limit gauge fills up."
"0","20","name","レイヴ値上昇アップ","Rave Gauge UP"
"0","20","description","レイヴゲージの上昇率をアップさせます","Increases the speed at which the Rave Gauge fills up."
"0","21","name","キャパシティ2倍","Double Capacity"
"0","21","description","キャパシティを2倍にし
アビリティセット数を増加させます","Doubles the amount of capacity to set style abilities."
"0","22","name","アイテムドロップ率アップ","Increase Item Drop Rate"
"0","22","description","アイテムドロップ率をアップさせます","Increases the rate at which items are dropped by defeated enemies"
"0","23","name","レアアイテムドロップ率アップ","Increase Rare Item Drop Rate"
"0","23","description","レアドロップ率をアップさせます","Increases the rate at which rare items are dropped by defeated enemies"
"0","24","name","モンスター図鑑引き継ぎ","Keep Monster Book"
"0","24","description","モンスター図鑑を引き継ぎます","Carries over the contents of the Monster Book"
"0","25","name","モンスター図鑑全解放","Fill Monster Book"
"0","25","description","モンスター図鑑を全て解放します","Unlocks the all entries in the Monster Book"
"0","26","name","スキットプレイヤー全解放","Unlock All Skits"
"0","26","description","ミュース族の里で閲覧可能な
スキットプレイヤーを全て解放します","Unlocks all skits for the Skit Player that can now be found in
Muse Clan’s Hometown."
